mundial,grupo,posicion,seleccion,pj,pg,pe,pp,gf,gc,dif,pts,clasificado,url,fecha_scraping
1982,4,1,Francia,2,2,0,0,5,1,4,4,Si,https://www.losmundialesdefutbol.com/mundiales/1982_grupo_4.php,2026-03-16T23:13:57.021582
1982,4,2,Austria,2,0,1,1,2,3,-1,1,No,https://www.losmundialesdefutbol.com/mundiales/1982_grupo_4.php,2026-03-16T23:13:57.021582
1982,4,3,Irlanda del Norte,2,0,1,1,3,6,-3,1,No,https://www.losmundialesdefutbol.com/mundiales/1982_grupo_4.php,2026-03-16T23:13:57.021582
1986,A,1,Argentina,3,2,1,0,6,2,4,5,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_a.php,2026-03-16T23:15:06.452699
1986,A,2,Italia,3,1,2,0,5,4,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_a.php,2026-03-16T23:15:06.452699
1986,A,3,Bulgaria,3,0,2,1,2,4,-2,2,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_a.php,2026-03-16T23:15:06.452699
1986,A,4,Corea del Sur,3,0,1,2,4,7,-3,1,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_a.php,2026-03-16T23:15:06.452699
1986,B,1,México,3,2,1,0,4,2,2,5,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_b.php,2026-03-16T23:15:10.453976
1986,B,2,Paraguay,3,1,2,0,4,3,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_b.php,2026-03-16T23:15:10.453976
1986,B,3,Bélgica,3,1,1,1,5,5,0,3,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_b.php,2026-03-16T23:15:10.453976
1986,B,4,Iraq,3,0,0,3,1,4,-3,0,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_b.php,2026-03-16T23:15:10.453976
1986,C,1,URSS,3,2,1,0,9,1,8,5,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_c.php,2026-03-16T23:15:13.617974
1986,C,2,Francia,3,2,1,0,5,1,4,5,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_c.php,2026-03-16T23:15:13.617974
1986,C,3,Hungría,3,1,0,2,2,9,-7,2,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_c.php,2026-03-16T23:15:13.617974
1986,C,4,Canadá,3,0,0,3,0,5,-5,0,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_c.php,2026-03-16T23:15:13.617974
1986,D,1,Brasil,3,3,0,0,5,0,5,6,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_d.php,2026-03-16T23:15:21.498781
1986,D,2,España,3,2,0,1,5,2,3,4,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_d.php,2026-03-16T23:15:21.498781
1986,D,3,Irlanda del Norte,3,0,1,2,2,6,-4,1,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_d.php,2026-03-16T23:15:21.498781
1986,D,4,Argelia,3,0,1,2,1,5,-4,1,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_d.php,2026-03-16T23:15:21.498781
1986,E,1,Dinamarca,3,3,0,0,9,1,8,6,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_e.php,2026-03-16T23:15:23.054969
1986,E,2,Alemania Occidental,3,1,1,1,3,4,-1,3,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_e.php,2026-03-16T23:15:23.054969
1986,E,3,Uruguay,3,0,2,1,2,7,-5,2,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_e.php,2026-03-16T23:15:23.054969
1986,E,4,Escocia,3,0,1,2,1,3,-2,1,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_e.php,2026-03-16T23:15:23.054969
1986,F,1,Marruecos,3,1,2,0,3,1,2,4,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_f.php,2026-03-16T23:15:24.204055
1986,F,2,Inglaterra,3,1,1,1,3,1,2,3,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_f.php,2026-03-16T23:15:24.204055
1986,F,3,Polonia,3,1,1,1,1,3,-2,3,Si,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_f.php,2026-03-16T23:15:24.204055
1986,F,4,Portugal,3,1,0,2,2,4,-2,2,No,https://www.losmundialesdefutbol.com/mundiales/1986_grupo_f.php,2026-03-16T23:15:24.204055
1990,A,1,Italia,3,3,0,0,4,0,4,6,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_a.php,2026-03-16T23:16:18.515737
1990,A,2,Checoslovaquia,3,2,0,1,6,3,3,4,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_a.php,2026-03-16T23:16:18.515737
1990,A,3,Austria,3,1,0,2,2,3,-1,2,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_a.php,2026-03-16T23:16:18.515737
1990,A,4,Estados Unidos,3,0,0,3,2,8,-6,0,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_a.php,2026-03-16T23:16:18.515737
1990,B,1,Camerún,3,2,0,1,3,5,-2,4,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_b.php,2026-03-16T23:16:20.595946
1990,B,2,Rumania,3,1,1,1,4,3,1,3,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_b.php,2026-03-16T23:16:20.595946
1990,B,3,Argentina,3,1,1,1,3,2,1,3,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_b.php,2026-03-16T23:16:20.595946
1990,B,4,URSS,3,1,0,2,4,4,0,2,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_b.php,2026-03-16T23:16:20.595946
1990,C,1,Brasil,3,3,0,0,4,1,3,6,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_c.php,2026-03-16T23:16:22.540341
1990,C,2,Costa Rica,3,2,0,1,3,2,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_c.php,2026-03-16T23:16:22.540341
1990,C,3,Escocia,3,1,0,2,2,3,-1,2,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_c.php,2026-03-16T23:16:22.540341
1990,C,4,Suecia,3,0,0,3,3,6,-3,0,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_c.php,2026-03-16T23:16:22.540341
1990,D,1,Alemania Occidental,3,2,1,0,10,3,7,5,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_d.php,2026-03-16T23:16:24.081189
1990,D,2,Yugoslavia,3,2,0,1,6,5,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_d.php,2026-03-16T23:16:24.081189
1990,D,3,Colombia,3,1,1,1,3,2,1,3,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_d.php,2026-03-16T23:16:24.081189
1990,D,4,Emiratos Arabes,3,0,0,3,2,11,-9,0,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_d.php,2026-03-16T23:16:24.081189
1990,E,1,España,3,2,1,0,5,2,3,5,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_e.php,2026-03-16T23:16:26.084229
1990,E,2,Bélgica,3,2,0,1,6,3,3,4,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_e.php,2026-03-16T23:16:26.084229
1990,E,3,Uruguay,3,1,1,1,2,3,-1,3,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_e.php,2026-03-16T23:16:26.084229
1990,E,4,Corea del Sur,3,0,0,3,1,6,-5,0,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_e.php,2026-03-16T23:16:26.084229
1990,F,1,Inglaterra,3,1,2,0,2,1,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_f.php,2026-03-16T23:16:28.115288
1990,F,2,Irlanda,3,0,3,0,2,2,0,3,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_f.php,2026-03-16T23:16:28.115288
1990,F,3,Paises Bajos,3,0,3,0,2,2,0,3,Si,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_f.php,2026-03-16T23:16:28.115288
1990,F,4,Egipto,3,0,2,1,1,2,-1,2,No,https://www.losmundialesdefutbol.com/mundiales/1990_grupo_f.php,2026-03-16T23:16:28.115288
1994,A,1,Rumania,3,2,0,1,5,5,0,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_a.php,2026-03-16T23:17:24.086213
1994,A,2,Suiza,3,1,1,1,5,4,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_a.php,2026-03-16T23:17:24.086213
1994,A,3,Estados Unidos,3,1,1,1,3,3,0,4,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_a.php,2026-03-16T23:17:24.086213
1994,A,4,Colombia,3,1,0,2,4,5,-1,3,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_a.php,2026-03-16T23:17:24.086213
1994,B,1,Brasil,3,2,1,0,6,1,5,7,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_b.php,2026-03-16T23:17:25.931694
1994,B,2,Suecia,3,1,2,0,6,4,2,5,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_b.php,2026-03-16T23:17:25.931694
1994,B,3,Rusia,3,1,0,2,7,6,1,3,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_b.php,2026-03-16T23:17:25.931694
1994,B,4,Camerún,3,0,1,2,3,11,-8,1,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_b.php,2026-03-16T23:17:25.931694
1994,C,1,Alemania,3,2,1,0,5,3,2,7,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_c.php,2026-03-16T23:17:27.294343
1994,C,2,España,3,1,2,0,6,4,2,5,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_c.php,2026-03-16T23:17:27.294343
1994,C,3,Corea del Sur,3,0,2,1,4,5,-1,2,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_c.php,2026-03-16T23:17:27.294343
1994,C,4,Bolivia,3,0,1,2,1,4,-3,1,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_c.php,2026-03-16T23:17:27.294343
1994,D,1,Nigeria,3,2,0,1,6,2,4,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_d.php,2026-03-16T23:17:28.735410
1994,D,2,Bulgaria,3,2,0,1,6,3,3,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_d.php,2026-03-16T23:17:28.735410
1994,D,3,Argentina,3,2,0,1,6,3,3,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_d.php,2026-03-16T23:17:28.735410
1994,D,4,Grecia,3,0,0,3,0,10,-10,0,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_d.php,2026-03-16T23:17:28.735410
1994,E,1,México,3,1,1,1,3,3,0,4,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_e.php,2026-03-16T23:17:31.316658
1994,E,2,Irlanda,3,1,1,1,2,2,0,4,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_e.php,2026-03-16T23:17:31.316658
1994,E,3,Italia,3,1,1,1,2,2,0,4,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_e.php,2026-03-16T23:17:31.316658
1994,E,4,Noruega,3,1,1,1,1,1,0,4,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_e.php,2026-03-16T23:17:31.316658
1994,F,1,Paises Bajos,3,2,0,1,4,3,1,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_f.php,2026-03-16T23:17:32.355557
1994,F,2,Arabia Saudita,3,2,0,1,4,3,1,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_f.php,2026-03-16T23:17:32.355557
1994,F,3,Bélgica,3,2,0,1,2,1,1,6,Si,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_f.php,2026-03-16T23:17:32.355557
1994,F,4,Marruecos,3,0,0,3,2,5,-3,0,No,https://www.losmundialesdefutbol.com/mundiales/1994_grupo_f.php,2026-03-16T23:17:32.355557
1998,A,1,Brasil,3,2,0,1,6,3,3,6,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_a.php,2026-03-16T23:18:34.435133
1998,A,2,Noruega,3,1,2,0,5,4,1,5,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_a.php,2026-03-16T23:18:34.435133
1998,A,3,Marruecos,3,1,1,1,5,5,0,4,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_a.php,2026-03-16T23:18:34.435133
1998,A,4,Escocia,3,0,1,2,2,6,-4,1,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_a.php,2026-03-16T23:18:34.435133
1998,B,1,Italia,3,2,1,0,7,3,4,7,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_b.php,2026-03-16T23:18:36.544974
1998,B,2,Chile,3,0,3,0,4,4,0,3,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_b.php,2026-03-16T23:18:36.544974
1998,B,3,Austria,3,0,2,1,3,4,-1,2,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_b.php,2026-03-16T23:18:36.544974
1998,B,4,Camerún,3,0,2,1,2,5,-3,2,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_b.php,2026-03-16T23:18:36.544974
1998,C,1,Francia,3,3,0,0,9,1,8,9,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_c.php,2026-03-16T23:18:37.508832
1998,C,2,Dinamarca,3,1,1,1,3,3,0,4,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_c.php,2026-03-16T23:18:37.508832
1998,C,3,Sudáfrica,3,0,2,1,3,6,-3,2,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_c.php,2026-03-16T23:18:37.508832
1998,C,4,Arabia Saudita,3,0,1,2,2,7,-5,1,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_c.php,2026-03-16T23:18:37.508832
1998,D,1,Nigeria,3,2,0,1,5,5,0,6,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_d.php,2026-03-16T23:18:39.652269
1998,D,2,Paraguay,3,1,2,0,3,1,2,5,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_d.php,2026-03-16T23:18:39.652269
1998,D,3,España,3,1,1,1,8,4,4,4,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_d.php,2026-03-16T23:18:39.652269
1998,D,4,Bulgaria,3,0,1,2,1,7,-6,1,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_d.php,2026-03-16T23:18:39.652269
1998,E,1,Paises Bajos,3,1,2,0,7,2,5,5,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_e.php,2026-03-16T23:18:41.807200
1998,E,2,México,3,1,2,0,7,5,2,5,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_e.php,2026-03-16T23:18:41.807200
1998,E,3,Bélgica,3,0,3,0,3,3,0,3,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_e.php,2026-03-16T23:18:41.807200
1998,E,4,Corea del Sur,3,0,1,2,2,9,-7,1,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_e.php,2026-03-16T23:18:41.807200
1998,F,1,Alemania,3,2,1,0,6,2,4,7,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_f.php,2026-03-16T23:18:43.957170
1998,F,2,RF de Yugoslavia,3,2,1,0,4,2,2,7,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_f.php,2026-03-16T23:18:43.957170
1998,F,3,Irán,3,1,0,2,2,4,-2,3,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_f.php,2026-03-16T23:18:43.957170
1998,F,4,Estados Unidos,3,0,0,3,1,5,-4,0,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_f.php,2026-03-16T23:18:43.957170
1998,G,1,Rumania,3,2,1,0,4,2,2,7,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_g.php,2026-03-16T23:18:45.705458
1998,G,2,Inglaterra,3,2,0,1,5,2,3,6,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_g.php,2026-03-16T23:18:45.705458
1998,G,3,Colombia,3,1,0,2,1,3,-2,3,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_g.php,2026-03-16T23:18:45.705458
1998,G,4,Túnez,3,0,1,2,1,4,-3,1,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_g.php,2026-03-16T23:18:45.705458
1998,H,1,Argentina,3,3,0,0,7,0,7,9,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_h.php,2026-03-16T23:18:47.367506
1998,H,2,Croacia,3,2,0,1,4,2,2,6,Si,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_h.php,2026-03-16T23:18:47.367506
1998,H,3,Jamaica,3,1,0,2,3,9,-6,3,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_h.php,2026-03-16T23:18:47.367506
1998,H,4,Japón,3,0,0,3,1,4,-3,0,No,https://www.losmundialesdefutbol.com/mundiales/1998_grupo_h.php,2026-03-16T23:18:47.367506
2002,A,1,Dinamarca,3,2,1,0,5,2,3,7,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_a.php,2026-03-16T23:19:56.223604
2002,A,2,Senegal,3,1,2,0,5,4,1,5,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_a.php,2026-03-16T23:19:56.223604
2002,A,3,Uruguay,3,0,2,1,4,5,-1,2,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_a.php,2026-03-16T23:19:56.223604
2002,A,4,Francia,3,0,1,2,0,3,-3,1,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_a.php,2026-03-16T23:19:56.223604
2002,B,1,España,3,3,0,0,9,4,5,9,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_b.php,2026-03-16T23:19:57.992535
2002,B,2,Paraguay,3,1,1,1,6,6,0,4,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_b.php,2026-03-16T23:19:57.992535
2002,B,3,Sudáfrica,3,1,1,1,5,5,0,4,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_b.php,2026-03-16T23:19:57.992535
2002,B,4,Eslovenia,3,0,0,3,2,7,-5,0,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_b.php,2026-03-16T23:19:57.992535
2002,C,1,Brasil,3,3,0,0,11,3,8,9,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_c.php,2026-03-16T23:20:00.040344
2002,C,2,Turquía,3,1,1,1,5,3,2,4,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_c.php,2026-03-16T23:20:00.040344
2002,C,3,Costa Rica,3,1,1,1,5,6,-1,4,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_c.php,2026-03-16T23:20:00.040344
2002,C,4,China,3,0,0,3,0,9,-9,0,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_c.php,2026-03-16T23:20:00.040344
2002,D,1,Corea del Sur,3,2,1,0,4,1,3,7,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_d.php,2026-03-16T23:20:01.578148
2002,D,2,Estados Unidos,3,1,1,1,5,6,-1,4,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_d.php,2026-03-16T23:20:01.578148
2002,D,3,Portugal,3,1,0,2,6,4,2,3,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_d.php,2026-03-16T23:20:01.578148
2002,D,4,Polonia,3,1,0,2,3,7,-4,3,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_d.php,2026-03-16T23:20:01.578148
2002,E,1,Alemania,3,2,1,0,11,1,10,7,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_e.php,2026-03-16T23:20:03.784339
2002,E,2,Irlanda,3,1,2,0,5,2,3,5,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_e.php,2026-03-16T23:20:03.784339
2002,E,3,Camerún,3,1,1,1,2,3,-1,4,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_e.php,2026-03-16T23:20:03.784339
2002,E,4,Arabia Saudita,3,0,0,3,0,12,-12,0,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_e.php,2026-03-16T23:20:03.784339
2002,F,1,Suecia,3,1,2,0,4,3,1,5,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_f.php,2026-03-16T23:20:06.073777
2002,F,2,Inglaterra,3,1,2,0,2,1,1,5,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_f.php,2026-03-16T23:20:06.073777
2002,F,3,Argentina,3,1,1,1,2,2,0,4,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_f.php,2026-03-16T23:20:06.073777
2002,F,4,Nigeria,3,0,1,2,1,3,-2,1,No,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_f.php,2026-03-16T23:20:06.073777
2002,G,1,México,3,2,1,0,4,2,2,7,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_g.php,2026-03-16T23:20:08.027476
2002,G,2,Italia,3,1,1,1,4,3,1,4,Si,https://www.losmundialesdefutbol.com/mundiales/2002_grupo_g.php,2026-03-16T23:20:08.027476
